Name,l,b,r,a,b,e,angle,rc_pc,rc_min,rc_error,d_min,d_max,dist,dmod,dist_e,pmra,pmra_e,pmdec,pmdec_e,r_pm,member,cal_mem,age,br,brbv,bl,blbv,corresponding_clusters
1,2.43 ,-0.27 ,0.35 ,0.38 ,0.32 ,0.16 ,6.89 ,2.26 ,13.05 ,0.07 ,544,647,596.13 ,595,20.23 ,0.90 ,0.14 ,-5.09 ,0.13 ,0.36 ,47,76.78 ,7.9,8.73 ,0.06 ,8.73 ,0.06 ,Dutra_Bica_40__dias__1
2,6.57 ,1.72 ,0.56 ,0.59 ,0.52 ,0.12 ,9.65 ,3.63 ,13.64 ,0.09 ,774,1054,913.33 ,914,58.44 ,2.99 ,0.13 ,-0.66 ,0.14 ,0.33 ,27,57.82 ,7.25,9.86 ,0.43 ,9.86 ,0.43 ,"NGC_6469__khar__1,NGC_6469__dias__1,NGC_6469__cocd__1"
3,9.87 ,2.86 ,0.38 ,0.40 ,0.37 ,0.07 ,-8.61 ,2.93 ,14.03 ,0.05 ,669,765,717.04 ,719,24.34 ,0.29 ,0.18 ,-1.80 ,0.18 ,0.42 ,360,676.42 ,8.5,8.95 ,1.55 ,11.62 ,0.43 ,"NGC_6494__cgoc__3,NGC_6494__khar__1,NGC_6494__dias__1,NGC_6494__cocd__1"
4,10.96 ,-9.35 ,0.37 ,0.44 ,0.32 ,0.29 ,23.65 ,2.57 ,11.25 ,0.07 ,741,836,788.08 ,784,23.89 ,-2.03 ,0.09 ,-6.40 ,0.11 ,0.23 ,37,89.66 ,8.45,9.35 ,0.38 ,9.35 ,0.38 ,0
5,12.39 ,-0.16 ,0.39 ,0.43 ,0.35 ,0.18 ,-17.99 ,1.32 ,8.26 ,0.12 ,478,622,549.84 ,550,15.87 ,0.74 ,0.10 ,-8.38 ,0.17 ,0.34 ,25,34.69 ,8,8.13 ,0.10 ,8.82 ,0.03 ,0
6,14.23 ,-5.61 ,0.51 ,0.59 ,0.45 ,0.24 ,12.45 ,3.08 ,18.79 ,0.08 ,503,624,562.45 ,563,23.32 ,-2.44 ,0.17 ,-6.38 ,0.18 ,0.41 ,134,218.24 ,8,8.23 ,0.43 ,10.44 ,0.38 ,"ASCC_97__cgoc__3,ASCC_97__khar__1,Alessi_40__dias__1"
7,14.74 ,-2.64 ,0.20 ,0.24 ,0.17 ,0.28 ,6.80 ,1.34 ,5.99 ,0.08 ,697,848,768.16 ,769,22.21 ,-0.28 ,0.14 ,-5.87 ,0.08 ,0.30 ,19,51.88 ,8.4,7.50 ,1.91 ,10.70 ,0.43 ,0
8,14.94 ,-9.30 ,0.51 ,0.63 ,0.42 ,0.34 ,-15.35 ,3.30 ,16.07 ,0.03 ,661,748,705.38 ,706,19.81 ,-1.49 ,0.14 ,-5.91 ,0.14 ,0.35 ,230,373.82 ,7.9,8.17 ,0.20 ,10.32 ,0.08 ,"Collinder_394__cgoc__3,Collinder_394__khar__1,Collinder_394__dias__1,Collinder_394__cocd__1"
9,15.14 ,-79.11 ,1.41 ,1.47 ,1.36 ,0.07 ,54.02 ,1.94 ,28.14 ,0.05 ,205,268,236.74 ,237,8.67 ,18.71 ,0.42 ,2.64 ,0.39 ,1.16 ,326,326.00 ,7.95,6.81 ,-0.10 ,6.81 ,-0.10 ,"Blanco_1__cgoc__3,Blanco_1__khar__1,Blanco_1__dias__1,Blanco_1__cocd__1"
10,15.24 ,-3.04 ,0.54 ,0.63 ,0.46 ,0.27 ,-85.06 ,2.52 ,14.56 ,0.07 ,476,718,590.30 ,595,32.14 ,-2.61 ,0.13 ,-6.11 ,0.16 ,0.36 ,33,53.91 ,8,9.42 ,0.31 ,9.42 ,0.31 ,NGC_6647__khar__1
